No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
696,SIEMENTECHNO DRIVE INDONESIAPerseroan Terbatas (PT)Email :pt.sdi_sda@yahoo.com,Merek Barang :InnomoticsStatus :Distributor,Low Voltage Motors (IN LVM),di seluruh wilayah Indonesia
697,FAJAR MAS MURNIPerseroan Terbatas (PT)Email :legal@fajarmasmurni.com,Merek Barang :INGERSOLL-RANDStatus :Distributor,Small Air Compressor;  Rotary Air Compressor; Centrifugal & Turbo Air Compressor; Refrigerated Dryers; Desiccant Dryers & Filter; Surface Preparation (Prod Code 350); Cordless Tools (Prod Code 354); Impact Tools (Prod Code 380); Auto Air Tool (Prod Code 384); Construction Tools (Prod Code 385); Auto Buyout Tool (Prod Code 386); Accessories (Prod Code 398); Assembly Tools (Prod Code 394); Assembly Tools (FTS) (Prod Code 395); Q2/1 Series Tools (Prod Code 378); Engine Starter Systems (Prod Code 388); OEM Air Motor (Prod Code 397); Air & Electric Hoists (Prod Code 383); Manual Hoist (Prod Code 890); Ergonomic Handling System (Prod Code 381); Hoists (Material Handling); Winches (Material Handling),Seluruh Indonesia
698,TERRINDO BUMI RAYAPerseroan Terbatas (PT)Email :info@terrindo.co.id,Merek Barang :HEZELStatus :Agen Tunggal,RADAR MARITIM,INDONESIA
699,ANUGERAH MEKATAMA SEJAHTERAPerseroan Terbatas (PT)Email :rina_pt.amsjkt@yahoo.com,"Merek Barang :FL360, USAR 1, RSK 1, MRK 1.Status :Distributor Tunggal","FIRSTLOOK FL360 CAMERA, FL360 Rescue Kits, and FIRSTLOOK Accessories","INDONESIA (Fire Services Departements, Search and Rescue, Police, Armed Forces/Millitary)"
700,UNILEAD INDO JAYA PERKASAPerseroan Terbatas (PT)Email :bunardi.wen@gmail.com,Merek Barang :ISONStatus :Distributor Tunggal,"Industrial Ethernet Switches, Point to Point Wireless Radios, Media Converters and Related Accessories",Indonesia
701,ARISTIRTA ELPRIMA PUTRAPerseroan Terbatas (PT)Email :m.mahendra@aristirta.com,Merek Barang :OCTG API-5CT AND PREMIUM CONNECTIONStatus :Agen Tunggal,Produk Threading OCTG (Casing dan Tubing),Di seluruh wilayah Indonesia
702,FAJAR BENUA INDOPACKPerseroan Terbatas (PT)Email :legal@fajarbenua.co.id,Merek Barang :STAR GUARDIANStatus :Agen Tunggal,Fluoroplastic Lining,INDONESIA
703,KEMASINDO MULTI UTAMAPerseroan Terbatas (PT)Email :kemasindo.utama@gmail.com,Merek Barang :TOP ONEStatus :Distributor,Sprayer Gendong Tipe Manual,Seluruh Wilayah Indonesia
704,SINERGI TEKNOGLOBAL PERKASAPerseroan Terbatas (PT)Email :adminsales@sinergiteknoglobal.co.id,Merek Barang :HyteraStatus :Distributor,"Hytera TETRA system, including infrastructures, appications and  terminals","Bandara dan Otoritas Bandara di Republik Indonesia, Kantor Gubernur dan unit kerja masing-masing di Republik  Indonesia"
705,GEOSERVICESPerseroan Terbatas (PT)Email :geoltd21322@gmail.com,Merek Barang :PETROSYSStatus :Agen Tunggal,"Suitebase, Suitegrpah, Frm3dview, Frmesri, Appgc, Appvol, Apdig, Applan, Datsql, Datmrsid, Datcgmi, Datzgf, Datconnect",Wilayah Indonesia
706,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,Merek Barang :Tanpa MerekStatus :Distributor,Galv Square Pipes Hotdipped & Galv Round Pipes Hotdipped,Batam
707,INDOTRUCK UTAMAPerseroan Terbatas (PT)Email :harno.prinadi@indotruck-utama.co.id,Merek Barang :VOLVOStatus :Distributor,"Articulated Haulers, Wheel Loaders, Rigid Haulers, Compact  Wheel Loaders, Wheeled Excavator, Crawler Excavators,  Compact Excavator, Soil Compaction, Asphalt Compaction,  Pavers, skid Steer Loader, Volvo CE Soft Products","Pulau Bali, Nusa Tenggara, Papua, Kalimantan, Sulawesi  dan Maluku"
708,TREETOP PYRAMIDPerseroan Terbatas (PT)Email :treetopsby@yahoo.co.id,Merek Barang :BOGEStatus :Distributor,"Boge screw compressor, piston compressor, dryers, (spare) parts, accessories, SO series oil free screw compressors",INDONESIA BAGIAN TENGAH DAN TIMUR
709,ANEKA WARNA SOLUSI MEDIAPerseroan Terbatas (PT)Email :AW.SOLUSI@GMAIL.COM,Merek Barang :EPSONStatus :Distributor,PRINTER,Di seluruh wilayah Indonesia
710,SIEMENTECHNO DRIVE INDONESIAPerseroan Terbatas (PT)Email :pt.sdi_sda@yahoo.com,Merek Barang :InnomoticsStatus :Distributor,Low Voltage Motors (IN LVM),di seluruh wilayah Indonesia
711,MASINDO TEKNIKA BERJAYAPerseroan Terbatas (PT)Email :masindotb@gmail.com,Merek Barang :Hyundai WeldingStatus :Distributor,Welding Consumables and Welding Machines,Seluruh wilayah Negara Republik Indonesia
712,SINERGI TEKNOGLOBAL PERKASAPerseroan Terbatas (PT)Email :adminsales@sinergiteknoglobal.co.id,Merek Barang :HyteraStatus :Distributor,"Hytera TETRA system, including infrastructures, appications and  terminals","Bandara dan Otoritas Bandara di Republik Indonesia, Kantor Gubernur dan unit kerja masing-masing di Republik  Indonesia"
713,TERRINDO BUMI RAYAPerseroan Terbatas (PT)Email :info@terrindo.co.id,Merek Barang :HEZELStatus :Agen Tunggal,RADAR MARITIM,INDONESIA
714,MULIA GRAHA ABADIPerseroan Terbatas (PT)Email :mga@muliagraha.co.id,Merek Barang :MAAStatus :Agen,"Wellhead, X-Mas Tree, Equipment dan Accessories",Indonesia
715,UNILEAD INDO JAYA PERKASAPerseroan Terbatas (PT)Email :bunardi.wen@gmail.com,Merek Barang :ISONStatus :Distributor Tunggal,"Industrial Ethernet Switches, Point to Point Wireless Radios, Media Converters and Related Accessories",Indonesia
716,FAJAR MAS MURNIPerseroan Terbatas (PT)Email :legal@fajarmasmurni.com,Merek Barang :INGERSOLL-RANDStatus :Distributor,Small Air Compressor;  Rotary Air Compressor; Centrifugal & Turbo Air Compressor; Refrigerated Dryers; Desiccant Dryers & Filter; Surface Preparation (Prod Code 350); Cordless Tools (Prod Code 354); Impact Tools (Prod Code 380); Auto Air Tool (Prod Code 384); Construction Tools (Prod Code 385); Auto Buyout Tool (Prod Code 386); Accessories (Prod Code 398); Assembly Tools (Prod Code 394); Assembly Tools (FTS) (Prod Code 395); Q2/1 Series Tools (Prod Code 378); Engine Starter Systems (Prod Code 388); OEM Air Motor (Prod Code 397); Air & Electric Hoists (Prod Code 383); Manual Hoist (Prod Code 890); Ergonomic Handling System (Prod Code 381); Hoists (Material Handling); Winches (Material Handling),Seluruh Indonesia
717,MAKMUR META GRAHA DINAMIKAPerseroan Terbatas (PT)Email :oss@makmurmeta.co.id,"Merek Barang :Allied Mineral Product, LLCStatus :Distributor Tunggal","Refractory, Equipment",Seluruh wilayah Republik Indonesia
718,MASTE DAYAAPerseroan Terbatas (PT)Email :info@mastedayaa.com,Merek Barang :KURITAStatus :Distributor,"KURIFLOCK PN-161, OXYNON S-504A, KALGEN 351, OXYNON M-301, OXYNON H-104, CLEANSCALE  I-131, KURITA CE-211V & KURITA AX-115C",Conoco Phillips Indonesia Ltd.
719,SUHADA PETROLEUMPerseroan Terbatas (PT)Email :suhadapetrol@yahoo.co.id,Merek Barang :ARROWStatus :Distributor Tunggal,"Arrow Engine Co : Slow Speed Gas Engines (Formely Lufkin, Continental Emsco & Climax) ; VR Engines (Formerly Waukesha) ; Arrow & Texsteam Chemical Pumps & Parts ; Ajax, Fairbanks Morse, Oilwell & Witte Engine Parts. Arrow Natural Gas Compressors, Reciprocating, 2-4 Throw Design Up To 550 Horsepower",Pertamina di Seluruh Indonesia
720,SARANA LOGISTIK INDONESIAPerseroan Terbatas (PT)Email :hrd@saranalogistikindonesia.com,"Merek Barang :UltraPro Curah, EzPro Curah, UltraPro JB, Super Thermo, Portland Composite Cement (PCC), Portland Pozzolan Cement (PPC)Status :Sub Distributor","UltraPro Curah, EzPro Curah, UltraPro JB, Super Thermo, Portland Composite Cement (PCC), Portland Pozzolan Cement (PPC)",Indonesia (semua wilayah Provinsi di Indonesia)
721,PUTRA CAHAYA SEJATIPerseroan Terbatas (PT)Email :info@putracs.com,Merek Barang :PHILIPSStatus :Distributor,"Indoor Lighting,  Outdoor Lighting, Street Lighting, Solar System Lighting, Colour  Changing Lighting","DKI Jakarta, Jawa Barat, Banten"
722,PERSADA PALEMBANG RAYAPerseroan Terbatas (PT)Email :persadapr1@gmail.com,Merek Barang :JCBStatus :Distributor,"Backhoe Loader, Telescopic Handler, Hydradig, Heavy Excavator, Wheeled Loading Shovels, Fastrac, Rough Terrain Forklift, Compaction","Jawa, Bali, Nusa Tenggara Barat dan Nusa Tenggara Timur."
723,TURBO MECHINPerseroan Terbatas (PT)Email :sales@turbo-mech.co.id,Merek Barang :ICS cooling towerStatus :Distributor,1) Supplai and service cooling tower 2) Fan Blade 3) Geer box 4) Electric motor 5) Fiil sheet/DE/nozzels Structure Wood product,INDONESIA
724,KOTAMINYAK INTERNUSAPerseroan Terbatas (PT)Email :hrd@kotaminyak.co.id,Merek Barang :PETROLVALVESStatus :Agen,"On/Off Valve, Triple Offset Valve, Control Valve.",Indonesia
725,PANCA GLOBAL TEKNOLOGIPerseroan Terbatas (PT)Email :panca@pancagt.co.id,Merek Barang :IONIXStatus :Agen,"Service and Maintenance for : IONIX HotSense Branded wall thickness monitoring sensors and associated deployment equipment, wall thickness systems and software which Ionix is Licended to supply in the Area (Monitoring Product)",PT Pertamina (Persero) dan PT. Trans-Pacific Petrochemical Indotama
726,JAYAPATRA FLO TEKNIKPerseroan Terbatas (PT)Email :jayapatrafloteknik@gmail.com,Merek Barang :KSBStatus :Agen,"Pumps, Pumps spare part dan Pumps service","1. PT Pertamina Patra Niaga
2. PT Pertamina International Shipping
3. PT Peteka Karya Tirta/PT Pertamina Energi Terminal
4. PT Pertamina Marine Engineering
5. PT MEdco E&P Indonesia
6. PT Medco E&P Malaka
7. PT MEdco E&P Rimau
8. Medco Energi Madura Offshore Pty. Ltd
9. Medco Energi Sampang Pty. Ltd
10. Medco Energi Bangkanai Limited (MEBL)
11. Medco E&P Grissik
12. Medco E&P Natuna Ltd
13. Medco E&P Lematang Ltd
14. Medco E&P Tarakan, Warehouse (Pamdock)
15. Petrogas (Basin) Ltd"
727,SEMBILAN CAHAYA LESTARIPerseroan Terbatas (PT)Email :sembilancahayalestarioss@gmail.com,Merek Barang :Pasopati Berkah K 12Status :Distributor Tunggal,Rokok (Sigaret Kretek Tangan /SKT),dalam wilayah negara Republik Indonesia
728,SEMBILAN CAHAYA LESTARIPerseroan Terbatas (PT)Email :sembilancahayalestarioss@gmail.com,Merek Barang :Region Kretek Sari PociStatus :Distributor Tunggal,Rokok (Sigaret Kretek Tangan /SKT),dalam wilayah negara Republik Indonesia
729,TRAKINDO UTAMAPerseroan Terbatas (PT)Email :TUGovrel@trakindo.co.id,Merek Barang :CATERPILLARStatus :Distributor Tunggal,"Bulldozer/ Track Type Tractor, Wheel dozer, Motor Grader, Scraper, Road Roller , Compactor (Pneumatic Tired), Compactor, Smooth, Compactor (Padded/Landfill/Soil), Track/Wheel Loader, Skid Steer Loader (SSL), Backhoe Loader (BHL), Multi Terrain Loader, Hydraulic Excavator, Front Shovel, Material Handler (Track/Wheel), Log Loader (Forest Machine), Feller Buncher, Infregrated Tool Carrier, Telescopic Handler, Pipe Layer, Forklift truck (electric), Forklift truck (diesel), Asphalt Paver (diesel), Road Reclaimer, Soil Stabilizer, Cold Planner, Pavement Proviller, Agricultural Tractors, Wheel Skidder, Track Skidder (logging tractor), Forwarder, Challenger, Tractors Head, Wheel Excavator, Asphalt Compactors, Wheel Loaders, Drills, Rotary Drills, Ug Room And Pilar, Feeder Breakers , Unit Rig Trucks, Harvesters, Dump Truck (OHT/ADT GVE exceeding >24 tons, HARVESTING HEAD, Generator (Altenator) < 12.5 KVA, Generator (Altenator) 12.5 KVA - 75 KVA, Generator (Altenator) 76 KVA - 150 KVA, Generator (Altenator) 151 KVA - 375 KVA, Generator (Altenator) 376 KVA - 750 KVA, Generator (Altenator) 751 KVA 10.000 KVA, Generator Sets (diesel) Output not exceeding 75 KVA, Generator Sets (diesel) Output exceeding 75 KVA but not exceeding 125 KVA, Generator sets (diesel) Output exceeding 125 KVA, Generator sets (diesel) Output not exceeding 12.500 KVA - More, Generator sets (diesel) Output not exceeding 12.500 KVA, Engines, Spark Ignition, Gas Engine, Power not exceeding 18.65 KW/25 HP, Engines, Spark Ignition, Gas Engine, Power not exceeding 18.65 KW/25 HP- 22.38 KW / 30 HP, Engines, Spark Ignition, Gas Engine, Power exceeding 22.38 KW/30 HP, Engines Compression Ignition (diesel), Marine Engine, Power not exceeding 750 KW, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 750 KW, Engines Compression Ignition (diesel), Vehicle subheading 8701.10, Fully Assembly Cylinder Capacity Exceeding 3500cc, Engines Compression Ignition (diesel), Vehicles of chapter 87, Not Fully Assembly Cylinder Capacity Exceeding 3500cc, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 24.38 KW but not exceeding 60 KW, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 60 KW but not exceeding 100 KW, Engines, Compression Ignition (diesel), Industrial Engines, Power exceeding 100 KW , Engine Compression Ignition (Diesel) Used only for Machinery of heading 84.29 0r 84.30 Power Exceeding 100kW, Heat exchanger, Cooling Tower, Radiator, Silencer, Muffler, Automatic circuit breaker, Control Panel, Propeller, UPS Flywheel , TCG 2016, TCG 2020, TCG 2032, TCG 3016, TCG 3020, TBG 616, TBG 620, TBD 232, TBD 234, TBD 604, TBD 616, TBD 620, TCD 2016, TCD 2020, CAT CG 132 (-8; -12; -16) ; MWM TCG/TBG 2016 (-8;-12;16) CAT CG 170 (-12;-16; -20) ; MWM TCG/TBG 2020 (-12;-16; -20) CAT CG 260 (-12; -16) ; MWM TCG/TBG 2032 (-12; -16) GAS ENGINE GENERATOR HARMONY SYSTEM, GENERATOR SPARE-PART HARMONY SYSTEM",Seluruh Indonesia
730,ANEKAJAYA LANGGENGSENTOSAPerseroan Terbatas (PT)Email :admin@ajls.id,Merek Barang :POWER LINKStatus :Distributor Tunggal,"Spare Parts of Our Portable and Industrial Diesel Engine Driven Electric Generating Sets Powered by : Perkins, Cummins, Yanmar, Kubota, Power Link Engines Gas Generator and Lighting tower",Indonesia
731,PANCA GLOBAL TEKNOLOGIPerseroan Terbatas (PT)Email :panca@pancagt.co.id,Merek Barang :IONIXStatus :Agen,"Service and Maintenance for : IONIX HotSense Branded wall thickness monitoring sensors and associated deployment equipment, wall thickness systems and software which Ionix is Licended to supply in the Area (Monitoring Product)",PT Pertamina (Persero) dan PT. Trans-Pacific Petrochemical Indotama
732,PUTRA CAHAYA SEJATIPerseroan Terbatas (PT)Email :info@putracs.com,Merek Barang :PHILIPSStatus :Distributor,"Indoor Lighting,  Outdoor Lighting, Street Lighting, Solar System Lighting, Colour  Changing Lighting","DKI Jakarta, Jawa Barat, Banten"
733,SINARCITRA ABADI-Email :perkebunan0713@gmail.com,Merek Barang :KIEN SENGStatus :Agen Tunggal,"Screw Press, Digester, Sludge Separator and all related palm oil mill equipments & spare parts",Indonesia
734,SUMBER BAN PERKASAPerseroan Terbatas (PT)Email :sumberbanperkasa@psak-bekasi.com,Merek Barang :BRIDGESTONEStatus :Distributor,Ban Kendaraan Bermotor Khusus Roda Empat,"Semua Kota di Provinsi Sumatera Selatan, Jambi, & Bengkulu"
735,GEOSERVICESPerseroan Terbatas (PT)Email :geoltd21322@gmail.com,Merek Barang :aspenONE® Subsurface Science & Engineering - aspenONE Engineering for E&CStatus :Agen Tunggal,Software,Wilayah Indonesia
736,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :Alfa LavalStatus :Distributor,"Parts  for HSS, DEC, GPHE, WHE ( Compabloc and Spiral Heat Exchangers)","Pertamina Hulu Energi Offshore South East Sumatera (PHE OSES), Pertamina Hulu Energi - Jambi Merang, Pertamina Hulu Mahakam, ExxonMobil Cepu Limited, Medco E&P Indonesia, Medco E&P Grissik, Medco E&P Natuna Ltd, Medco E&P Lematang, Medco E&P Malaka, Medco E&P Rimau,  Medco E&P Tarakan, BP Berau Ltd, ENI Indonesia (Merakes & Muara Bakau), Harbour Energy, Kilang Pertamina Internasional - Dumai, Kilang Pertamina Internasional - Plaju,Kilang Pertamina Internasional - Cilacap,  Kilang Pertamina Internasional - Balikpapan, Kilang Pertamina Internasional - Balongan, Kilang Pertamina Internasional -  Kasim,  Kilang Pertamina Balikpapan."
737,ASHCROFINDO MANUNGGALPerseroan Terbatas (PT)Email :contact@ashcrofindo.com,Merek Barang :FLOWSERVEStatus :Agen Tunggal,"1. ACEC Centrifugal Pumps, 2. Byron Jackson Pumps, 3. Durco Pumps, 4. Ingerssoll Dresser Pumps, 5. Jeumont Schneider Pumps, 6. Sierbath Rotary Pumps, 7. Stork Engineered Pumps, 8. United Centrifugal Pumps, 9. Wilson Snyder Pumps, 10. Worthington Pumps, 11. Thomson Kelly & Lewis Pumps, 12. Lawrence Pumps, 13. Innomag Pumps, 14. SIHI Pumps, 15. Niigata Worthington","Market Segment : Chemical, Mining, Oil & Gas Production, Petroleum Refining, Pipelines, SOE (State Owned Entity)/Government Entity, and other included-Corporate Headquarters: 1. ExxonMobil Cepu Ltd, 2. Pertamina EP Asset 4, Cepu Field, 3. Pertamina EP Asset 4, Poleng Field, 4. Pertamina EP Asset 4, Donggi Matindok Field, 5. JOB Pertamina -Medco EP Tomori Sulawesi, 6. PT. Donggi Senoro LNG (DSLNG), 7. Amman Mineral Nusa Tengara (PT AMNT; formerly Nemont), 8. Pertamina Petrochina East Java (PPEJ) Tuban, 9. Citic Seram (Kepulauan Seram), 10. EMP Malacca (Riau), 11. PT Badak NGL, 12. PT. Pertamina Hulu Energi Jambi Merang (formerly JOB Pertamina Talisman (Jambi Merang), 13. Kaltim Nitrate Indonesia, 14. Kaltim Pama Industri (KPI), 15. Medco EP (Pendopo/Lematang), 16. Medco EP Tarakan (Block Tarakan), 17. Pertamina Hulu Mahakam (PHM) (formerly Total E&P Indonesie), 18. Premier Oil (Natuna Sea Block), 19. PT. Freeport Indonesia, 20. PT. Kaltim Methanol Industri (KMI), 21. PT. Kaltim Pacific Amoniak (Bontang), 22. PT. Kaltim Prima Coal (Balikpapan), 23. PHE OSES (PHE Offshore South East Sumatera) Java Sea), formerly CNOOC, 24. Pupuk Kalimantan Timur, 25. PHE ONWJ (West Java), 26. PHE WMO (West Java), 27. Saka Indonesia Pangkah Ltd On Shore & Off Shore, 28. Sele Raya Merangin Dua (Merangin Block), 29. Star Energy (Natuna Sea Block), PHE; 30. Antam, 31. BP. Berau (Bintuni), 32. Pertamina EP Matindok, 33. EMP Kangean, 34. Pertamina EP Asset 3, Subang Field, 35. Pertamina EP Asset 3, Jatibarang Field, 36. Pertamina EP Asset 3, Tambun Field, 37. Pertamina EP Asset 5, Sangatta Field, 38. Pertamina EP Asset 5, Bunyu Field, 39. Pertamina EP Asset 5, Tanjung Field, 40. Pertamina EP Asset 5, Sangasanga Field, 41. Pertamina EP Asset 5, Tarakan Field, 42. Pertamina EP Asset 5, PEP Papua Field, 43. Pertamina Hulu Sanga Sanga (Formerly VICO Indonesia), 44. PT. Medco E&P Indonesia, 45. PT. Medco E&P Rimau, 46. PT. Medco E&P Malaka, 47. Medco E&P Natuna Ltd, 48. Medco Energi Sampang Pty Ltd, 49. Medco Energi Madura Offshore Pty Ltd, 50. Medco Energi Bangkanai Limited"
738,HYDROMART UTAMA INDONESIAPerseroan Terbatas (PT)Email :hydromart.indonesia@gmail.com,Merek Barang :DIAION and RELITEStatus :Agen,Ion Exchange Resin & Inert Resin,Indonesia
739,SINARCITRA ABADI-Email :perkebunan0713@gmail.com,Merek Barang :POWERStatus :Agen Tunggal,"Screw Press, Digester, Sludge Separator and all related palm oil mill equipments and spare parts",Indonesia
740,INDOTRUCK UTAMAPerseroan Terbatas (PT)Email :harno.prinadi@indotruck-utama.co.id,Merek Barang :VOLVOStatus :Sub Distributor,Truck Chassis,Seluruh Indonesia kecuali Kalimantan
741,ANEKA TEKNOLOGI UTAMAPerseroan Terbatas (PT)Email :atu@metrodata.co.id,Merek Barang :EPSONStatus :Distributor,"Print Label (Thermal), Printer berwarna, Printer Dotmatrik, Printer Monochrom, Scanner, Tape Label, Ink Bottle. L-Series Entry, L-Series MidHigh, L-Series A3, Ink Bottle MidHigh, M-Series, Consumer Printer, All SIDM, All Scanner, LW",Indonesia
742,FNF TRANS NIAGAPerseroan Terbatas (PT)Email :ferryanto.junaidi@gmail.com,Merek Barang :ORAKCIStatus :Distributor,1. Seri ORV - Pemadat Sampah 2. Seri ORC - Pemadat Sampah dengan Derek 3. Seri OBW - Pemadat Sampah dengan Sistem Pencucian 4. Seri ODB - Pemadat Sampah dengan Badan Ganda 5. Seri OBL - Pengangkat Sampah 6. Seri OTP - Platform Teleskopik 7. Seri OVS - Penyapu Jalan 8. Seri OH L - Pengangkat Kait 9. Seri OSL - Skiploader 10. Seri OMN - Pemadat Monoblok 11. Seri OMP - Pemadat Monoblok Portabel 12. Seri OMR - Pemadat Monoblok dengan Listrik 13. Seri OMD - Mini Dumper 14. E-PTO,INDONESIA
743,HYDROMART UTAMA INDONESIAPerseroan Terbatas (PT)Email :hydromart.indonesia@gmail.com,Merek Barang :DIAION and RELITEStatus :Agen,Ion Exchange Resin & Inert Resin,Indonesia
744,PANCA GLOBAL TEKNOLOGIPerseroan Terbatas (PT)Email :panca@pancagt.co.id,Merek Barang :SULZERStatus :Distributor,"Sulzer Pumps / Non-Sulzer Pums, Componen repair work, Complete overhauls, Metallurgical treatments, Field Service, Pump Units Retrofits, Duplicates Pump Units, Rerates Pump units, Spare Part OEM / OEM X",PT KILANG PERTAMINA INTERNASIONAL dan  PT TPPI TUBAN
745,SINARCITRA ABADI-Email :perkebunan0713@gmail.com,Merek Barang :POWERStatus :Agen Tunggal,"Screw Press, Digester, Sludge Separator and all related palm oil mill equipments and spare parts",Indonesia
746,TRITAMA SOLUSIPerseroan Terbatas (PT)Email : -,Merek Barang :Hudson Tuf-Lite dan Hudson Fin-FanStatus :Distributor,Fan products and Air-Cooled Heat Exchanger Parts.,Indonesia
747,SUPRANIAGA NUSANTARAPerseroan Terbatas (PT)Email :supraniaga123@yahoo.com,Merek Barang :Tiga RodaStatus :Distributor,"Oil Well Cement Kelas G, Hight Sulphate Resistant (G HSR), dengan spesifikasi 10 A",Dalam Wilayah Republik Indonesia
748,KREASI MANJANGAN JAYAMUKTIPerseroan Terbatas (PT)Email :kreasimj@indosat.net.id,Merek Barang :CMRStatus :Agen Tunggal,"Controle Mesure Regulation products including Pressure Temperature Sensors/Transmitter, Temperature Sensors and Engine Monitoring System",Indonesia
749,KAWAN ABADI SELARASPerseroan Terbatas (PT)Email :info@kawanabadiselaras.com,Merek Barang :SUZHOU BAW MEDTECH LTDStatus :Agen Tunggal,"BAWMED Surgical Pendant, BAWMED Anesthesia Pendant",Indonesia
750,PUSAKA NIAGA INDONESIAPerseroan Terbatas (PT)Email :contact@pusakaniaga.com,Merek Barang :ROSENBAUERStatus :Distributor Tunggal,"Komponen : Pompa Sentrifugal terpasang pada kendaraan (penggerak PTO) seri R-, N-, dan N/H, Sistem pembagian busa/foam, Monitor Seri-RM, Sistem CAF terpasang pada kendaraan, Gulungan selang, Penutup golong. Pompa Portabel : Fox, Beaver, Otter, Sistem Tekanan Ultra Tinggi UHPS, Dll. Peralatan Pemadam Kebakaran & Keselamatan : Helm, Sepatu Bot Pelindung, Sarung Tangan Pelindung, Generator Listrik, Unit Ventilasi, Pompa Bawah AIr, Sistem Penerangan, Nozzle, Monitor Portabel. Suku Cadang.",Indonesia
